PDF Path,Text
1.pdf,"Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2

Allegation

Two companies with the same owner took part at least three times in the same Airport tenders.

Background Information

The Kosovo citizen, Vendor 1 and Vendor 2 Representative, is the owner and Director of the Pristina-based Vendor 1 and also a 51% shareholder of the Pristina-Ljubljana-based company Vendor 2. Both companies have their residences at the same address in Pristina.

Both Vendor 1 and Vendor 2 submitted three times in 2003 for the same tenders:

Supply and Mounting of Sonic System in the Fire Station Building. Winner was Vendor 2 with €1,530 followed by Vendor 1 with €1,620. The third company, Vendor 3, did not provide a price offer.

Cabling of Flat Display Information System (FIDS). Winner was Vendor 1 with €15,919 followed by Vendor 2 with €19,248.70. The other two competitors, Vendor 3 and Vendor 4, offered prices of Euro 19,702 and Euro 21,045.

Purchase and fixing of Cramer Antenna. Winner was again Vendor 1 with €3,627.99 followed by Vendor 2 with €3,921. The other two competitors, Vendor 3 and Vendor 4, offered prices of €4,278 and €4,670."
1.pdf,"Investigative details

In his/her interviews conducted on 31st August and 14th September 2004, Vendor 1 and Vendor 2 Representative admitted that the fact that both Vendor 1 and Vendor 2 took part together in three Airport tenders put other competitors at a disadvantage, but alleged both companies have never exchanged information with regard to the price offers.

There were doubts whether both companies Vendor 3 and Vendor 4 exist and submitted bids for the three tenders. The ITF investigation, with support from the Kosovo Organised Crime Bureau (KOCB), has found no reference with regard to the existence of the alleged competitor Vendor 4 in Pristina. The alleged company Vendor 3 was found to be a supermarket located in Prizren.

The above-mentioned facts are already part of the ITF case no. 286/04 that was submitted to the International Prosecutor, UNMIK Department of Justice, in October 2004. On 1 December 2004, the ITF contacted the International Prosecutor for a legal assessment of this case. Although this case would clearly be a breach of Economic Law, there is no applicable law in Kosovo for the time being."
10.pdf,"""An interoffice memorandum providing an “outstanding issues update to Official 2”, from DOTI Official 3 to Staff member 1 at the office of Official 2 dated 18 May 2001, could give rise to the suggestion that offers were provided by companies on 28 May 2001, and the Vendor had been chosen for the works in advance. However, a more likely explanation is the date of the interoffice memorandum has been incorrectly dated, since the document contains reference dates relating to project “events” which post date 18 May 2001. At paragraph 2b, the interoffice memorandum states that the Cargo Apron invitation to tender was based on summary documents."""
10.pdf,"""Allegation 2 & 3:

(Specifically, three of the persons on the bid opening committee and evaluation committees were the same parties who should not have carried out both tasks.)

and

(The contract for the Cargo Apron Extension was not channeled through the Office of the Legal Adviser.)

The evaluation report dated 2 August 2001 is signed by three parties, who are also listed as having attended the bid opening session. This indicates that the composition of the bid opening committee and the evaluation committee overlapped.

When asked about this issue in interview DOTI Official 2 confirmed that he/she was both on the bid opening committee and was a member of the evaluation committee. He/she added that the people who evaluated the offers signed the evaluation report. This is in conflict with UN regulations, which segregate the two roles. An interoffice memorandum dated 24 September 2001 indicates that the contract for the Cargo Apron Extension had not been channeled through the Office of the Legal Adviser."""
10.pdf,"""When asked about this in interview, the Divisional Manager stated: “Without seeing any other documents, on the face of it, it does appear that there could be a conflict of interest here. But the report was produced by a professional pavement engineer, at a laboratory. Therefore, one can assume a certain degree of integrity.”

The ITF notes that the PEAP Official indicated that he/she was unhappy about the Vendor self-certifying its work and he/she commented that the airport engineer should have questioned it.

The ITF does not have sufficient technical knowledge to assess the adequacy of the Vendor’s work. However, a letter from the Divisional Manager to Staff Member 3 dated 25 August 2002 gives rise to the possibility that it was not up to specification in certain areas."""
10.pdf,"""INVESTIGATION DETAILS

This part of the investigation relates to a tender for a contract for the extension of the Cargo Terminal Apron at Pristina Airport. The value of the contract was €774,318.63.

Allegation 1

(Specifically, the tender documents for the cargo apron did not comply with the requirements of Article 23.4 of the UNMIK Finance Administrative Instruction 1999/2 on Public Procurement using Kosovo Consolidated Budget Funds, as they were based on summary documents and did not include clear instructions on drawings and plans.)

A note from the Project Engineer at the Evaluation Company to the PEAP Official, dated 31 January 2001, indicates that the Evaluation Company was commissioned to produce a preliminary design for the Cargo Terminal at Pristina Airport. The design also provided for the construction of the Cargo Apron Extension."""
10.pdf,"""At paragraph 4 of the Cargo Apron Extension evaluation report dated 2 August 2001, the committee notes that the bidding documents did not include clear instructions on drawing and plans. It therefore was recommended that negotiations be held with the lowest bidder, the Vendor, on further details of the scope of works.

In combination, the two documents suggest that the tender documents did not comply with Article 23.3 of the UNMIK Finance Administrative Instruction 1999/2 on Public Procurement using Kosovo Consolidated Budget Funds.

When asked whether he/she was of the view that the tender documents complied with the provisions of Article 23.3 of the UNMIK Finance Administrative Instruction 1999/2 on Public Procurement using Kosovo Consolidated Budget Funds, DOTI Official 2 conceded that if an engineer was asked this question, he/she would indicate that the tender specifications were technically deficient and did not comply with Article 23.3."""
10.pdf,"""Until the end of June 2002, responsibility for the administration of the Pristina Airport was entrusted to the Civil Administration Pillar (Pillar II) of UNMIK, including Official 1 and Official 2. Pillar II supervised DOTI Official 1 (Department of Transport and Infrastructure). The DOTI was later known as the Transport Sector of the UNMIK Directorate of Infrastructure Affairs. DOTI Official 1 left UNMIK at the end of June 2002. DOTI Official 2 was recruited by the DOTI as an international staff member on 31 July 2000 in charge of airport operations, reporting to DOTI Official 1, and continued in this role until 30 September 2001. Engineering expertise was provided by a series of engineers seconded from the armed forces of a United Nations member state, specifically Airport Engineer 1, Airport Engineer 2, and Airport Engineer 3, and later by a consultant from the Consulting Company.

On 1 July 2002, the responsibility for the administration of the Airport passed from Pillar II to the Kosovo Trust Agency (KTA) and Pillar IV. The Divisional Manager was appointed. Under him were the PEAP Official and ATCS Official (Air Traffic Control Services).

On 1 April 2004 Pristina International Airport, which had until that time been under the jurisdiction of KFOR was handed over to civilian jurisdiction, under ICAO regulations.

It is against this background of change that procurement procedures relating to the following contract have been examined."""
10.pdf,"""METHODOLOGY

This investigation was conducted pursuant to Executive Decision No 2003/16 on the establishment of the Investigation Task Force. The ITF investigators conducted an enquiry into the allegations raised by interviews with persons indicated to be witnesses and persons potentially implicated in the allegations; by obtaining documents from the Pristina Airport administration and from Pillar IV, which were then analysed for relevance to the inquiry at hand.

BACKGROUND INFORMATION

Pristina International Airport constitutes a state owned enterprise under Yugoslavian law. The assets of the airport include the runways, terminal buildings, hanger, fuel storage facilities and equipment. During the period covered by this investigation, from 2001 until 2003, they were maintained by the Public Enterprise Airport Pristina, (PEAP) in cooperation with Military Units of the Kosovo Force (KFOR). Pursuant to United Nations Security Council Resolution 1244 dated 10 June 1999, and UNMIK Regulation No 1/1999 dated 25 July 1999. UNMIK is mandated to administer the territory of Kosovo, including state owned and publicly owned assets. This includes Pristina International Airport."""
10.pdf,"""Allegation 4:

(Specifically, that the Vendor produced its own test results to confirm the quality of its own work on the Cargo Apron, resulting in a conflict of interest.)

An interoffice memorandum from Staff member 2 to the Procurement Official, signed by DOTI Official 1 dated 18 October 2001, indicates that DOTI Official 1 authorised the soil stabilisation work. The memorandum also adds that the work was inadvertently not included in the original contract.

DOTI Official 2 told the ITF that in order to progress the cargo apron tender, he/she had to organise a geographical survey. He/she added that only after the tests were done could the tender go ahead. However, the evaluation report at paragraph 4 suggests that information on the nature of the ground does not appear to have been included in the tender documents. In addition, a letter from the Vendor to UNMIK and PEAP dated 27 June 2001, but apparently not received at UNMIK and PEAP until 17 October 2001, according to a manuscript note signed by Airport Engineer 1 at the bottom of the letter, suggests that it carried out its own soil tests."""
